selling_price,km_driven,age,make,model,Petrol,Manual
3.9,240000,8,TOYOTA,ETIOS GD,0,1
3.65,90000,10,VOLKSWAGEN,POLO DIESEL,0,1
2.8,49566,11,HYUNDAI,I20 MAGNA,1,1
12.5,14000,5,HYUNDAI,VERNA CRDI,0,0
5.9,11000,7,HYUNDAI,I20 2015-2017,1,1
4.75,5000,5,MARUTI,CELERIO VXI,1,0
6.85,55000,6,FORD,ECOSPORT 2015-2021,0,1
3.8,65000,11,HYUNDAI,VERNA SX,0,0
3.3,22000,5,RENAULT,KWID 1.0,1,1
6.5,7671,5,MARUTI,BALENO DELTA,1,1
3.25,66000,7,MARUTI,WAGON R,1,1
6.4,45156,5,MARUTI,SWIFT DZIRE,1,0
9.49,25000,4,HYUNDAI,VENUE SX,1,1
7.5,70000,8,NISSAN,TERRANO XL,0,1
6.6,120000,8,HYUNDAI,VERNA 1.6,0,1
4.35,28000,9,MARUTI,SWIFT VXI,1,1
3.85,55000,10,HYUNDAI,I20 SPORTZ,0,1
10,104000,12,HYUNDAI,SANTA FE,0,1
12.5,14000,4,HYUNDAI,VERNA CRDI,0,0
5.5,18000,6,HYUNDAI,XCENT 1.2,1,1
1.55,98780,14,MARUTI,WAGON R,1,1
4.15,58000,8,MARUTI,SWIFT VDI,0,1
2.51,30000,12,MARUTI,ALTO K10,1,1
11.5,46400,7,MAHINDRA,SCORPIO S10,0,1
3.1,32111,9,HYUNDAI,I10 MAGNA,1,1
3.5,35000,8,DATSUN,GO PLUS,1,1
11.25,30000,6,MAHINDRA,SCORPIO 1.99,0,1
20.9025,63000,7,BMW,5 SERIES,0,0
2,43890,6,CHEVROLET,BEAT LT,1,1
4.8,10000,5,DATSUN,GO PLUS,1,1
8.5,25000,6,MARUTI,SWIFT DZIRE,0,0
11,102000,6,HYUNDAI,CRETA 1.6,0,0
5.75,35000,5,MARUTI,SWIFT VXI,1,1
3.4,49948,11,MARUTI,SWIFT DZIRE,1,1
5.59,114851,5,TATA,INDIGO ELX,0,1
9.25,55000,5,FORD,ECOSPORT 2015-2021,0,1
4,36000,8,HYUNDAI,GRAND I10,1,1
5.6,35000,4,HYUNDAI,XCENT 1.2,0,1
7.25,49625,7,HONDA,CITY I,1,1
6,35000,9,MARUTI,SWIFT DZIRE,0,1
5.5,95000,10,MAHINDRA,SCORPIO VLX,0,1
5.85,36000,6,FORD,ASPIRE 1.5,0,1
4.11,50000,4,MARUTI,WAGON R,1,1
4.5,26500,8,MARUTI,SWIFT DZIRE,1,1
12.9,80000,8,HONDA,CR-V 2.0L,1,0
4.55,46000,8,VOLKSWAGEN,POLO 1.2,1,1
7.1,9000,4,HYUNDAI,GRAND I10,1,1
4.5,70000,7,MAHINDRA,TUV 300,0,1
4.65,33000,8,TOYOTA,ETIOS LIVA,1,1
7.7,53000,7,HONDA,CITY V,1,1
3.2,50000,8,TATA,INDIGO LS,0,1
3.25,50000,8,TATA,INDIGO LX,0,1
20.9025,11387,5,FORD,ENDEAVOUR 3.2,0,0
7.2,50000,5,HONDA,AMAZE VX,0,1
3.75,52000,7,MAHINDRA,KUV 100,0,1
1.45,60000,13,CHEVROLET,AVEO 1.4,1,1
4,35000,8,DATSUN,GO PLUS,1,1
6,48000,8,RENAULT,DUSTER 85PS,0,1
6,18000,5,HONDA,JAZZ 1.2,1,1
2.7,57413,11,MARUTI,WAGON R,0,1
5,30000,8,HYUNDAI,I20 MAGNA,1,1
6.5,55000,8,HYUNDAI,VERNA 1.6,0,1
3.8,120000,8,CHEVROLET,SAIL 1.2,1,1
7.28,165000,11,MITSUBISHI,PAJERO SPORT,0,1
