selling_price,km_driven,age,make,model,Petrol,Manual
4.35,62000,10,HYUNDAI,I20 MAGNA,0,1
5,138489,11,MAHINDRA,XUV500 W8,0,1
4.95,21000,6,MARUTI,SWIFT LXI,1,1
3.5,30000,7,MAHINDRA,KUV 100,0,1
2.75,85000,15,MARUTI,SWIFT LDI,0,1
3.5,15000,14,MAHINDRA,BOLERO DI,0,1
2.7,80000,9,MARUTI,ALTO K10,1,1
8.5,64500,6,MARUTI,VITARA BREZZA,0,1
2.3,171289,13,HYUNDAI,I10 MAGNA,1,1
7.5,110000,9,MAHINDRA,XUV500 W8,0,1
6.87,23243,7,MARUTI,BALENO ALPHA,1,1
3,69000,13,HYUNDAI,I10 MAGNA,1,1
9.7,8600,5,HONDA,CITY I-VTEC,1,1
7.5,30000,8,MARUTI,CIAZ VDI,0,1
2.45,56700,14,HYUNDAI,I10 MAGNA,1,1
4.3,8000,5,RENAULT,KWID AMT,1,0
17,65000,9,MERCEDES-BENZ,GLA CLASS,0,0
7.75,18000,5,MARUTI,SWIFT DZIRE,0,0
4.21,49508,11,MARUTI,SX4 VDI,0,1
6.75,9000,4,HYUNDAI,I20 ACTIVE,1,1
4.25,64300,7,HYUNDAI,GRAND I10,0,1
3.75,70000,11,TATA,MANZA AURA,0,1
6.5,68297,8,MARUTI,SWIFT VDI,0,1
10.5,25000,5,HONDA,CITY I-VTEC,1,1
2.25,60859,15,HYUNDAI,SANTRO XING,1,1
4.59,41600,12,HYUNDAI,VERNA TRANSFORM,1,1
1.25,139352,17,FORD,FIESTA 1.4,0,1
6.9,14000,4,MARUTI,SWIFT AMT,1,0
6.5,55000,5,HYUNDAI,XCENT 1.2,0,1
15,20000,4,TATA,HARRIER XM,0,1
20.9025,14000,6,TOYOTA,INNOVA CRYSTA,0,0
2.9,35000,6,MARUTI,ALTO 800,1,1
12.75,95000,11,VOLVO,S60 D5,0,0
3.7,62400,8,MARUTI,WAGON R,1,1
2.5,39054,14,HYUNDAI,I10 ERA,1,1
3.11,21444,6,MARUTI,ALTO 800,1,1
17,42000,5,JEEP,COMPASS 2.0,0,1
9,65436,9,MAHINDRA,XUV500 W8,0,1
3.75,76600,16,MAHINDRA,SCORPIO 2.6,0,1
3.4,140000,11,MARUTI,SWIFT LDI,0,1
4,132838,15,TOYOTA,INNOVA 2.5,0,1
5,100000,17,TOYOTA,COROLLA EXECUTIVE,1,1
4.9,50000,9,MARUTI,SWIFT DZIRE,0,1
4.45,14000,6,MARUTI,WAGON R,1,1
2.29,106742,14,MARUTI,A STAR,1,1
8.5,20000,6,HONDA,WR-V I-VTEC,1,1
3.85,80000,11,MARUTI,RITZ VDI,0,1
3.2,39667,6,HYUNDAI,EON ERA,1,1
8.6,31809,5,MAHINDRA,TUV 300,0,1
5.2,1780,3,HYUNDAI,SANTRO MAGNA,1,1
4.75,123000,11,MARUTI,SWIFT ZDI,0,1
4.63,38156,7,HYUNDAI,I10 MAGNA,1,1
4,10000,6,RENAULT,KWID 1.0,1,1
3.65,21000,8,HYUNDAI,I10 MAGNA,1,1
3.8,67379,10,MARUTI,SWIFT LDI,0,1
6.9,11000,5,HONDA,AMAZE S,1,1
2.5,70000,13,CHEVROLET,BEAT LT,1,1
4.99,24000,6,HYUNDAI,GRAND I10,1,0
2.5,79002,10,HONDA,BRIO E,1,1
4.5,73575,7,HYUNDAI,I20 SPORTZ,1,1
6.5,40000,5,MARUTI,ERTIGA LXI,1,1
8.35,19000,5,HONDA,WR-V I-VTEC,1,1
9.4,25000,5,HONDA,CITY I-VTEC,1,0
5.2,80000,8,HYUNDAI,GRAND I10,0,1
6.51,59000,10,MAHINDRA,BOLERO 2011-2019,0,1
11,110000,12,NISSAN,X-TRAIL LE,0,1
7.25,150000,9,MAHINDRA,XUV500 W8,0,1
11.2,10000,6,SKODA,RAPID 1.6,1,0
6.75,72000,7,MARUTI,BALENO ZETA,0,1
20.9025,100000,6,AUDI,Q3 2.0,0,0
3.8,130000,7,TATA,BOLT QUADRAJET,0,1
7.25,75000,12,SKODA,SUPERB ELEGANCE,0,0
5.3,75000,9,HYUNDAI,I20 2015-2017,0,1
7.1,185000,15,TOYOTA,INNOVA 2.5,0,1
4.65,72200,11,HYUNDAI,I20 1.4,0,1
1.42,57000,13,TATA,INDICA VISTA,0,1
8,70000,8,MAHINDRA,XUV500 W4,0,1
5.35,18745,8,HYUNDAI,I20 MAGNA,1,1
6.8,120000,6,FORD,ECOSPORT TDCI,0,1
3.45,32599,9,NISSAN,MICRA ACTIVE,1,1
4,20365,8,MARUTI,WAGON R,1,0
6.15,20000,4,HONDA,AMAZE ACE,1,1
4.85,36001,9,HONDA,AMAZE S,0,1
9,25000,5,HONDA,WR-V I-DTEC,0,1
7,45400,6,FORD,ECOSPORT 2015-2021,1,1
6.95,94000,13,MAHINDRA,XUV500 W8,0,1
19.5,84000,8,AUDI,A4 35,0,0
15.25,85000,11,BMW,5 SERIES,0,0
7,65000,7,HONDA,CITY I,1,1
4.5,72001,12,SKODA,LAURA AMBIENTE,0,0
3.8,153000,11,MARUTI,SWIFT DZIRE,0,1
12,40000,4,MAHINDRA,SCORPIO S5,0,1
9.9,48000,7,MAHINDRA,SCORPIO 1.99,0,1
4,40000,11,MARUTI,SWIFT LDI,0,1
4.3,100000,7,HYUNDAI,GRAND I10,1,1
6.9,24000,6,FORD,ASPIRE 1.5,0,1
4.7,15408,9,HYUNDAI,GRAND I10,1,1
1.35,55319,16,MARUTI,ESTEEM VXI,0,1
5.85,39800,8,HONDA,JAZZ 1.2,1,1
3.22,45138,6,DATSUN,REDIGO 1.0,1,1
20.9025,60000,5,TOYOTA,FORTUNER 2016-2021,0,1
11,63000,6,HYUNDAI,CRETA 1.4,0,1
20.9025,91795,6,JAGUAR,XE 2016-2019,0,0
4.3,56000,10,MARUTI,SWIFT DZIRE,1,1
1.3,120000,12,CHEVROLET,BEAT LT,1,1
5.6,19000,6,HYUNDAI,GRAND I10,1,1
5.95,85000,9,MARUTI,SWIFT DZIRE,0,1
7.93,50000,5,MARUTI,SWIFT AMT,0,0
7.25,40000,4,HYUNDAI,I20 DIESEL,0,1
3.75,55000,14,MARUTI,SWIFT 1.3,1,1
5.2,42000,5,TATA,TIAGO 1.2,1,1
3.65,119000,11,TOYOTA,ETIOS LIVA,0,1
12,45906,5,MAHINDRA,MARAZZO M8,0,1
5.7,39000,6,HYUNDAI,I20 1.2,1,1
4.75,70000,6,MARUTI,SWIFT DZIRE,1,1
7.5,30000,5,TATA,NEXON 1.2,1,1
5.5,29456,7,MARUTI,SWIFT DZIRE,1,1
4.8,90000,9,TOYOTA,ETIOS GD,0,1
8.25,33000,5,HONDA,WR-V I-VTEC,1,1
3,120000,17,MAHINDRA,BOLERO SLX,0,1
4.03,60343,10,HYUNDAI,I10 LPG,0,1
2.75,50000,9,TATA,INDIGO LS,0,1
12.25,192000,8,TOYOTA,INNOVA 2.5,0,1
12.95,89000,8,SKODA,OCTAVIA STYLE,0,0
6,137801,11,SKODA,YETI AMBITION,0,1
20.9025,122000,10,VOLVO,XC 90,0,0
5.8,25000,5,MARUTI,IGNIS 1.2,1,0
3.8,50000,6,MARUTI,WAGON R,1,1
6.9,70000,6,MARUTI,SWIFT DZIRE,0,1
3,5000,7,HYUNDAI,EON D,1,1
2.5,74000,12,HYUNDAI,SANTRO XING,0,1
5.8,31000,7,NISSAN,MICRA XV,1,0
0.8,147000,19,TOYOTA,COROLLA EXECUTIVE,1,1
3.7,68000,11,HYUNDAI,I20 MAGNA,0,1
2.19,105379,15,MARUTI,WAGON R,0,1
4.6,90000,6,CHEVROLET,ENJOY 1.4,1,1
4.2,50000,10,HYUNDAI,I20 MAGNA,0,1
3.75,115000,13,HONDA,CITY 1.5,1,1
6.75,80000,8,HONDA,CITY I,0,1
1,120000,13,TATA,INDICA DLS,0,1
6.3,80000,9,HYUNDAI,VERNA 1.6,1,0
6.25,100000,10,TOYOTA,COROLLA ALTIS,0,1
18,60000,7,TOYOTA,INNOVA CRYSTA,0,0
5.4,36000,5,HYUNDAI,GRAND I10,1,1
11.5,51000,4,HYUNDAI,CRETA 1.4,0,1
3.35,19000,8,RENAULT,KWID RXL,1,1
6.8,10000,3,HONDA,AMAZE S,1,1
6.75,83000,8,HONDA,CITY I,0,1
0.62,100000,17,MARUTI,ALTO STD,1,1
2,79000,11,MARUTI,ALTO LXI,1,1
3.8,70000,9,MAHINDRA,XYLO H4,0,1
3,150000,15,TATA,SAFARI 2005-2017,0,1
9.25,33000,5,VOLKSWAGEN,VENTO 1.5,0,0
7.87,120000,8,HONDA,CITY I,0,1
7,11000,4,MARUTI,SWIFT DZIRE,1,0
6.95,16780,4,MARUTI,BALENO ZETA,1,1
5.9,5000,4,HYUNDAI,GRAND I10,0,1
1,50000,16,CHEVROLET,SPARK 1.0,1,1
5,62156,7,HONDA,AMAZE E,0,1
2,220000,11,MAHINDRA,VERITO 1.5,0,1
5.95,12000,6,NISSAN,SUNNY XL,1,1
8.5,30000,5,HYUNDAI,VERNA VTVT,1,1
6,75000,9,HYUNDAI,I20 1.4,0,1
4,17205,8,MARUTI,WAGON R,1,1
1.95,80000,12,MARUTI,ZEN ESTILO,1,1
2.85,83000,11,MARUTI,WAGON R,1,1
3.51,50000,9,MARUTI,WAGON R,1,1
4.8,7395,4,HYUNDAI,SANTRO SPORTZ,1,1
0.5,26000,24,MARUTI,800 STD,1,1
5.1,10000,5,MARUTI,CELERIO X,1,0
6,60150,7,MARUTI,BALENO DELTA,1,1
1.6,120000,16,FORD,FIESTA 1.4,0,1
6.8,50000,6,MARUTI,SWIFT ZDI,0,1
1.9,120000,16,MAHINDRA,BOLERO DI,0,1
5,40000,9,FORD,ECOSPORT 1.5,1,1
11.56,25000,5,HONDA,BRV I-VTEC,1,0
6.85,67500,9,HYUNDAI,VERNA 1.6,0,1
5.1,35000,6,HYUNDAI,GRAND I10,1,1
20.9025,40000,9,MERCEDES-BENZ,M-CLASS ML,0,0
5.3,178000,8,MARUTI,SWIFT VDI,0,1
6,50000,7,MARUTI,SWIFT DZIRE,0,1
5.4,64000,9,HYUNDAI,I20 ASTA,0,1
1.15,90000,18,MARUTI,WAGON R,1,1
5,120000,9,CHEVROLET,TAVERA NEO,0,1
14.85,80000,10,AUDI,A4 1.8,1,0
3.1,147000,12,SKODA,FABIA 1.2L,0,1
6.49,99000,9,HONDA,CITY I,0,1
3.6,100000,11,HYUNDAI,VERNA 1.6,0,1
6.6,52300,5,MARUTI,SWIFT DZIRE,0,1
4.61,23121,8,MARUTI,CELERIO ZXI,1,0
4.2,52438,10,HONDA,CITY 2017-2020,1,1
3.71,27265,6,MARUTI,ALTO K10,1,0
5.25,120000,6,MARUTI,SWIFT DZIRE,0,1
4.5,2000,5,MARUTI,WAGON R,1,1
2.49,38000,14,MARUTI,SWIFT DZIRE,1,1
3.12,23701,6,MARUTI,ALTO 800,1,1
8.32,53861,5,HYUNDAI,I20 1.4,0,1
2.5,85753,15,HYUNDAI,VERNA CRDI,0,1
2.1,35000,12,TATA,INDIGO LS,0,1
3.25,70396,12,SKODA,FABIA 1.2L,0,1
5.78,31734,6,HYUNDAI,GRAND I10,1,1
4.75,70000,8,MARUTI,CIAZ VDI,0,1
7.45,42000,5,NISSAN,SUNNY DIESEL,0,1
3.99,58000,10,HYUNDAI,GRAND I10,0,1
11.5,41275,6,HYUNDAI,CRETA 1.6,1,0
5.5,4500,3,MARUTI,S-PRESSO VXI,1,1
9,35000,3,MAHINDRA,XYLO D4,0,1
5,35000,6,HYUNDAI,XCENT 1.2,1,1
8,160000,10,MAHINDRA,SSANGYONG REXTON,0,0
10.42,19000,4,TOYOTA,YARIS J,1,0
5.5,56000,9,VOLKSWAGEN,CROSSPOLO 1.5,0,1
2.3,50000,12,MARUTI,ALTO K10,1,1
3.7,29000,5,RENAULT,KWID 1.0,1,1
4.15,113566,10,VOLKSWAGEN,POLO DIESEL,0,1
10.8,12000,4,HONDA,CITY I-DTEC,0,1
20.9025,9000,5,TOYOTA,FORTUNER 2016-2021,0,0
3.75,38700,8,MARUTI,WAGON R,1,1
3.85,92000,11,VOLKSWAGEN,POLO DIESEL,0,1
9.2,10700,4,TATA,NEXON 1.2,1,1
6.75,84000,8,HONDA,CITY I,1,1
1.23,110000,15,TATA,INDIGO LX,0,1
2.9,72422,11,MARUTI,EECO 7,1,1
8,126000,10,TOYOTA,INNOVA 2.5,0,1
16,23000,5,MAHINDRA,XUV500 W11,0,1
1,60235,16,MARUTI,ALTO LXI,1,1
2.4,60069,12,MARUTI,ZEN ESTILO,1,1
4.6,77000,14,HONDA,NEW ACCORD,1,0
2.8,110000,13,MARUTI,SWIFT DZIRE,0,1
5.6,76325,12,TOYOTA,INNOVA 2.5,0,1
2.3,110000,13,MARUTI,SWIFT 1.3,1,1
2.9,32000,11,HYUNDAI,I10 ERA,1,1
8.25,105000,5,MARUTI,VITARA BREZZA,0,1
1.5,52000,12,CHEVROLET,SPARK 1.0,0,1
13.99,99000,8,SKODA,OCTAVIA ELEGANCE,0,0
2.19,48001,14,MARUTI,WAGON R,1,1
4.25,50000,6,HYUNDAI,GRAND I10,0,1
20.9025,16000,7,AUDI,A6 35,0,0
9,35000,6,TATA,NEXON 1.5,0,1
5.85,50000,7,HYUNDAI,I20 SPORTZ,1,1
6.1,70000,7,HYUNDAI,I20 ASTA,0,1
20.9025,135000,9,MERCEDES-BENZ,M-CLASS ML,0,0
2.15,76000,10,HYUNDAI,EON D,1,1
0.6,40000,17,MARUTI,800 AC,1,1
2.5,35000,10,MARUTI,WAGON R,1,1
4.95,40569,8,HONDA,JAZZ 1.2,1,1
1.8,110000,10,TATA,INDICA VISTA,0,1
8,90000,4,MAHINDRA,SCORPIO S3,0,1
10.5,110000,7,HYUNDAI,CRETA 1.6,0,0
7.3,60881,6,MARUTI,BALENO ALPHA,0,1
3.1,32736,7,RENAULT,KWID 1.0,1,1
3.1,75000,13,MARUTI,SWIFT 1.3,1,1
2.95,72500,11,SKODA,RAPID 1.6,0,1
4,275000,10,MARUTI,SWIFT VDI,0,1
6.75,35001,9,HONDA,CITY I,1,1
3.5,15000,7,MARUTI,EECO 5,1,1
3.6,59000,5,MARUTI,EECO 7,1,1
3,151315,9,HYUNDAI,GRAND I10,0,1
8.41,61000,6,MARUTI,VITARA BREZZA,0,1
15,38000,12,AUDI,A4 2.0,0,0
1.5,80000,15,HYUNDAI,I10 MAGNA,1,1
0.45,40000,11,TATA,NANO LX,1,1
3.75,56000,13,HYUNDAI,I10 SPORTZ,1,1
3.5,60000,6,RENAULT,KWID CLIMBER,1,1
1.8,180000,10,MARUTI,ALTO 800,1,1
3.85,49011,13,HYUNDAI,I20 1.2,1,1
8.8,80000,5,MAHINDRA,TUV 300,0,1
4.5,48000,9,FORD,FIGO DIESEL,0,1
3.9,68000,11,MARUTI,SWIFT VDI,0,1
5,70000,7,MARUTI,RITZ LDI,0,1
2.5,105610,8,MARUTI,ALTO 800,1,1
6.5,70000,6,MAHINDRA,BOLERO POWER,0,1
1.78,113343,14,MARUTI,WAGON R,1,1
8.5,64495,14,BMW,3 SERIES,0,0
2.65,95000,13,FORD,FIESTA 1.4,0,1
4.5,50001,10,RENAULT,FLUENCE DIESEL,0,1
3.35,49000,9,MARUTI,CELERIO VXI,1,0
6.45,63669,7,HYUNDAI,I20 1.2,1,1
3.5,199900,13,MAHINDRA,BOLERO SLX,0,1
2.5,120000,8,TATA,INDIGO LX,0,1
10.8,103000,12,TOYOTA,INNOVA VX,0,1
3.2,60000,10,HONDA,BRIO S,1,1
8.75,38860,6,MAHINDRA,THAR CRDE,0,1
7.75,8000,5,HYUNDAI,I20 1.2,1,1
7.25,6500,5,MARUTI,SWIFT DZIRE,1,0
3,90000,9,HYUNDAI,GRAND I10,1,1
5.4,68000,5,HONDA,AMAZE E,0,1
5.25,31000,4,FORD,FIGO 1.2P,1,1
5.65,84000,7,HONDA,JAZZ VX,1,1
4.5,40000,8,TATA,ZEST REVOTRON,1,1
7.25,60852,6,MARUTI,SWIFT DZIRE,0,1
4.5,76800,11,HYUNDAI,VERNA 1.6,0,1
5.12,29751,8,HYUNDAI,GRAND I10,1,1
4.5,40000,4,MARUTI,WAGON R,1,1
20,21800,9,MINI,COOPER HATCH,1,0
10.25,48001,6,HYUNDAI,CRETA 1.4,0,1
5.45,55000,6,MARUTI,SWIFT ZDI,0,1
2.75,68176,13,FORD,FIGO DIESEL,0,1
4.5,2000,3,MARUTI,S-PRESSO VXI,1,1
12,40000,4,NISSAN,KICKS XV,0,1
5,40000,7,HYUNDAI,I20 SPORTZ,1,1
2.8,51060,13,FORD,FIGO DIESEL,0,1
11,20000,5,HYUNDAI,CRETA 1.6,0,1
6.25,159000,8,RENAULT,DUSTER 110PS,0,1
9.75,32000,4,MARUTI,ERTIGA ZXI,1,0
4,10000,7,MARUTI,WAGON R,1,1
15,54000,6,JEEP,COMPASS 2.0,0,1
3.8,110000,8,HYUNDAI,GRAND I10,0,1
9.9,37000,5,HYUNDAI,VERNA 1.6,1,1
2.6,54701,7,RENAULT,KWID 1.0,1,1
1.35,70000,13,MARUTI,ALTO LXI,1,1
4,40000,6,TATA,ZEST REVOTRON,1,1
6,87500,11,MAHINDRA,XUV500 W8,0,1
8,70000,5,MARUTI,SWIFT DZIRE,0,0
5.5,49000,9,RENAULT,DUSTER 110PS,0,1
7.6,70000,6,HONDA,WR-V I-DTEC,0,1
3.99,111000,12,HYUNDAI,I20 SPORTZ,0,1
1.9,80000,11,HYUNDAI,EON 1.0,1,1
3.25,72980,8,MARUTI,RITZ LDI,0,1
3,11638,14,HYUNDAI,I20 MAGNA,1,1
5,9605,4,MARUTI,WAGON R,1,1
3.45,58000,7,RENAULT,KWID 1.0,1,1
4.5,22000,5,MAHINDRA,KUV100 NXT,1,1
9.5,20000,3,MAHINDRA,MARAZZO M2,0,1
9.98,70000,5,HYUNDAI,CRETA 1.4,0,1
8.9,30000,3,MARUTI,BALENO ALPHA,1,0
20.9025,23000,4,AUDI,Q3 35,0,0
4.1,60000,8,HONDA,BRIO S,1,1
3.5,146000,7,VOLKSWAGEN,POLO 1.2,1,1
5.8,40000,6,FORD,FIGO 1.5,0,1
5.5,30000,7,HYUNDAI,GRAND I10,1,1
13,30000,5,TOYOTA,YARIS VX,1,0
10.9,28000,6,HYUNDAI,VERNA VTVT,1,0
1.25,75000,16,MARUTI,ZEN ESTILO,1,1
2.1,92300,17,FORD,FIESTA 1.6,1,1
8.95,90000,12,BMW,3 SERIES,0,0
2.5,110000,16,MAHINDRA,BOLERO DI,0,1
7.5,27000,8,FORD,ECOSPORT 2015-2021,1,0
4.5,40000,8,HONDA,AMAZE S,1,1
3.1,60000,13,MARUTI,SWIFT DZIRE,0,1
9.25,50000,5,MARUTI,S-CROSS 2017-2020,0,1
5.4,27452,8,HYUNDAI,I20 MAGNA,1,1
5.21,75000,10,MAHINDRA,BOLERO 2011-2019,0,1
2.5,50000,11,CHEVROLET,SAIL HATCHBACK,0,1
3.1,18604,8,MARUTI,ALTO 800,1,1
8.55,48000,5,MARUTI,VITARA BREZZA,0,1
7.25,36000,8,MAHINDRA,THAR DI,0,1
5.5,87020,8,MARUTI,SWIFT VXI,1,1
8,40000,4,VOLKSWAGEN,AMEO 1.5,0,1
5,95000,13,MAHINDRA,SCORPIO VLS,0,0
7,170000,10,TOYOTA,INNOVA 2.5,0,1
2.45,32103,11,MARUTI,ALTO K10,1,1
3.5,72240,13,HYUNDAI,I20 1.2,1,1
7,90000,8,MARUTI,SX4 S,0,1
2.85,66000,12,HYUNDAI,I10 MAGNA,1,1
5.3,90000,6,FORD,ASPIRE 1.5,0,1
4.89,82000,10,MARUTI,SWIFT DZIRE,0,1
6.5,123000,7,RENAULT,DUSTER 110PS,0,1
4.99,75000,9,HYUNDAI,I20 2015-2017,0,1
3.11,72000,11,VOLKSWAGEN,POLO PETROL,1,1
3.5,50000,13,HYUNDAI,I10 SPORTZ,1,0
20.9025,30000,6,TOYOTA,FORTUNER 2016-2021,0,0
15,55500,10,AUDI,A4 NEW,0,0
16,100000,7,TOYOTA,INNOVA CRYSTA,0,1
7.85,32000,6,MARUTI,SWIFT DZIRE,0,0
3.2,83000,15,TOYOTA,COROLLA H3,1,0
3.25,71845,8,FORD,CLASSIC 1.6,1,1
7.5,18000,5,MARUTI,SWIFT DZIRE,1,0
3.5,15000,7,MARUTI,EECO 7,1,1
6,24500,10,TOYOTA,ETIOS GD,0,1
4.6,40000,9,HYUNDAI,I20 SPORTZ,1,1
9.8,30481,6,HONDA,BR-V STYLE,1,0
6.35,11972,4,HYUNDAI,I20 1.2,1,1
4.5,212000,11,MAHINDRA,SCORPIO VLX,0,0
4.45,91850,10,NISSAN,TERRANO XV,0,1
6.51,56000,6,MARUTI,SWIFT DZIRE,0,1
7.75,31000,6,VOLKSWAGEN,AMEO 1.5,0,0
3.95,95094,9,HYUNDAI,GRAND I10,0,1
3.4,74000,13,MARUTI,SWIFT VDI,0,1
3.5,48300,6,MARUTI,SWIFT DZIRE,0,1
7.5,72000,6,MAHINDRA,TUV 300,0,1
3.3,95000,12,MAHINDRA,BOLERO SLX,0,1
8,30000,8,RENAULT,DUSTER 85PS,0,1
3.7,25000,4,MARUTI,EECO 5,1,1
2.4,110000,12,NISSAN,MICRA DIESEL,0,1
7.6,19000,7,RENAULT,LODGY 85PS,0,1
4,105000,10,MARUTI,SWIFT DZIRE,1,1
2.8,90000,11,FORD,FIGO DIESEL,0,1
5.5,50000,8,VOLKSWAGEN,VENTO 1.5,0,1
5.2,56000,10,MARUTI,SWIFT DZIRE,0,1
5.35,110000,7,MARUTI,SWIFT DZIRE,0,1
4.5,50000,8,MARUTI,SWIFT VXI,1,1
4.15,25000,7,MARUTI,ALTO K10,1,0
7.25,46858,7,HONDA,JAZZ 1.2,1,0
2.65,80000,14,TATA,SAFARI 2005-2017,0,1
6,67300,8,FORD,ECOSPORT 2015-2021,1,1
3.48,65000,10,HYUNDAI,GRAND I10,0,1
3.2,35000,11,HYUNDAI,EON ERA,1,1
7.65,48000,5,MARUTI,SWIFT DZIRE,1,0
5.9,36658,9,MARUTI,SWIFT DZIRE,0,1
8.5,14000,7,HONDA,CITY I,1,0
20.9025,118000,9,BMW,X6 XDRIVE,0,0
5.25,57400,11,HYUNDAI,VERNA CRDI,0,1
4.2,10000,8,CHEVROLET,SAIL LS,0,1
5,90000,7,MARUTI,SWIFT VXI,1,1
3,32895,4,MARUTI,ALTO 800,1,1
2.75,52000,11,HONDA,BRIO S,1,1
9.25,120000,9,TOYOTA,INNOVA 2.5,0,1
5,16000,9,MARUTI,SWIFT VDI,0,1
2.6,35966,13,MARUTI,SWIFT DZIRE,1,1
7.5,50000,6,RENAULT,DUSTER ADVENTURE,0,1
2.5,70000,15,MARUTI,SX4 ZXI,1,1
6.42,27240,6,HYUNDAI,I20 ACTIVE,1,1
2.55,45075,9,MARUTI,ALTO 800,1,1
6.75,60000,10,NISSAN,TERRANO XL,0,1
3.3,7300,5,RENAULT,KWID RXL,1,1
5,40000,7,HYUNDAI,I20 ACTIVE,1,1
1.75,50000,11,CHEVROLET,BEAT DIESEL,0,1
11.9,150000,10,TOYOTA,INNOVA 2.5,0,1
3.5,175000,8,HONDA,MOBILIO E,0,1
4.55,120000,7,CHEVROLET,ENJOY 1.3,0,1
4.25,70000,11,VOLKSWAGEN,POLO DIESEL,0,1
4.7,158000,10,TATA,SAFARI STORME,0,1
10.5,80000,7,MAHINDRA,XUV500 AT,0,0
14,147550,11,TOYOTA,FORTUNER 4X2,0,1
1.5,30420,16,HYUNDAI,GETZ GLE,1,1
2.5,50000,13,MARUTI,SX4 ZXI,1,1
5.5,80000,10,RENAULT,DUSTER 110PS,0,1
20.9025,38000,8,PORSCHE,CAYENNE DIESEL,0,0
15.5,46000,7,TOYOTA,INNOVA CRYSTA,0,0
2.95,15000,7,MARUTI,ALTO 800,1,1
7.3,54000,6,RENAULT,LODGY 110PS,0,1
11.75,107742,14,MERCEDES-BENZ,E-CLASS 280,0,0
9,58446,6,MAHINDRA,SCORPIO S4,0,1
6.45,68000,9,HONDA,CITY I,0,1
7.95,84732,6,HONDA,BRV I-DTEC,0,1
8.35,41000,6,HYUNDAI,VERNA 1.6,0,1
4.25,20000,5,DATSUN,REDIGO SV,1,1
8.7,35000,4,MAHINDRA,BOLERO 2011-2019,0,1
3.65,36834,11,HYUNDAI,I10 MAGNA,1,1
20.9025,25000,8,AUDI,A8 L,0,0
2,130000,15,SKODA,LAURA AMBIENTE,0,1
2.25,70000,13,HYUNDAI,I10 MAGNA,1,1
4.25,48000,7,MARUTI,WAGON R,1,1
4.5,60000,9,HYUNDAI,I20 SPORTZ,0,1
8.9,100000,5,HYUNDAI,CRETA 1.4,0,1
4.5,90000,9,RENAULT,DUSTER 85PS,0,1
8,35200,8,HONDA,MOBILIO V,0,1
7.2,57000,6,MARUTI,CIAZ DELTA,0,1
1.15,55000,17,MARUTI,BALENO LXI,1,1
3.7,70000,9,MARUTI,SWIFT ZXI,1,1
1.6,120000,10,TATA,INDICA EL,0,1
7,100000,9,HYUNDAI,VERNA 1.4,0,1
3.1,13000,9,CHEVROLET,SAIL 1.2,1,1
5.5,110000,6,MARUTI,BALENO DELTA,1,1
10.11,100000,9,TOYOTA,INNOVA 2.5,0,1
12,120000,5,ISUZU,D-MAX V-CROSS,0,1
4.8,69264,9,VOLKSWAGEN,VENTO 1.5,0,0
20.9025,35000,7,AUDI,A6 35,0,0
8.4,1001,3,NISSAN,SUNNY XE,0,1
4.5,40000,8,RENAULT,LODGY STEPWAY,0,1
3,50000,13,MARUTI,SWIFT DZIRE,0,1
11,35000,8,MAHINDRA,XUV500 W8,0,1
7.6,33487,7,HONDA,BRV I-VTEC,1,1
7.5,90000,8,MARUTI,SX4 S,0,1
6,120000,7,MAHINDRA,BOLERO 2011-2019,0,1
2.1,85281,14,MARUTI,WAGON R,1,1
20.9025,13989,4,HONDA,CIVIC ZX,1,0
13.25,35000,7,TOYOTA,COROLLA ALTIS,1,0
4.55,75486,10,MARUTI,SWIFT VDI,0,1
8.35,39000,6,FORD,ECOSPORT 2015-2021,0,1
4.35,50000,11,HYUNDAI,I20 1.2,1,1
6.5,62000,8,HONDA,CITY I,1,1
6.65,41000,7,MARUTI,SWIFT DZIRE,1,1
5.2,102272,13,MAHINDRA,SCORPIO VLX,0,1
3.4,84903,15,MARUTI,SWIFT DZIRE,0,1
6.5,200000,13,TOYOTA,INNOVA 2.5,0,1
3.5,110000,10,FIAT,GRANDE PUNTO,0,1
2.95,62000,7,MARUTI,ALTO 800,1,1
5,190000,8,MARUTI,SWIFT DZIRE,0,1
4.4,120000,6,MAHINDRA,XYLO D2,0,1
4.5,52600,11,TATA,MANZA CLUB,0,1
14.75,2200,3,MAHINDRA,XUV500 W7,0,1
6.9,14000,3,HYUNDAI,GRAND I10,1,0
5.5,60002,11,HYUNDAI,VERNA TRANSFORM,0,0
10,30000,4,MARUTI,ERTIGA ZDI,0,1
5.5,5000,2,MARUTI,IGNIS DELTA,1,1
5.6,21986,7,HYUNDAI,GRAND I10,1,1
5.15,23787,8,HYUNDAI,GRAND I10,1,1
5.5,46000,7,HYUNDAI,I20 SPORTZ,1,1
7.25,129000,7,HONDA,CITY I,1,1
16.5,90000,11,BMW,5 SERIES,0,0
8.5,28000,7,HONDA,CITY I,1,0
3.71,100000,11,MARUTI,SWIFT DZIRE,0,1
6.95,69000,7,VOLKSWAGEN,POLO 2015-2019,0,1
3.5,40000,12,HYUNDAI,I10 SPORTZ,1,1
20.9025,65000,5,FORD,ENDEAVOUR 3.2,0,0
1.6,90000,15,HYUNDAI,SANTRO XING,1,1
16.9,61000,12,JAGUAR,XF 3.0,0,0
